first,name,organization,image (please don't edit),bioguide,twitter,state,phone,email,party affiliation,office 1,office 1 phone,office 1 geo,office 2,office 2 phone,office 2 geo,office 3,office 3 phone,office 3 geo,office 4,office 4 phone,office 4 geo,office 5,office 5 phone,office 5 geo,office 6,office 6 phone,office 6 geo,office 7,office 7 phone,office 7 geo,office 8,office 8 phone,office 8 geo,Event 1,Event 2,EFF score -4 (to,First cloture vote USAF,,,sp/co FISA Courts Reform Act (+3),"sp/co S. 1551, IOSRA (+4)",sp/co FISA Improvements Act (-4),sp/co FISA Transparency & Modernization Act (-4),sp/co Surveillance State Repeal Act (2014 or 2015) (+4),sp/co USA FREEDOM prior to 2014-05-18 (+2),voted for Conyers/Amash amendment (+4),voted for House version of USA Freedom 2014 (-2),voted for Massie-Lofgren amendment 2014 (+3),Sp/co whistleblower protection for IC employees/contractors,1st USAF cloture vote,Straight reauth,Sp/co FISA Reform Act,Amdmt 1449: Data retention,Amdmt 1450: Extend implementation to 1yr,Amdmt 1451: Gut amicus,Final passage USAF,Sp/co 702 reforms (+4),Massie-Lofgrenamdmt to HR2685: Defund 702 (+3/-3),Massie-Lofgren amdmt on HR4870: No Encryption Backdoors (+3/-3),Total points,Grade,,,
Charles,Dent,House,padentcharlesw.jpg,D000604,RepCharlieDent,Pennsylvania,,,Republican,,,"7900 Glades Road, Ste. 250
Boca Raton, FL  33434",561-470-5440 ,"26.3694658,-80.172785","1300 Coral Springs Drive
Coral Springs, FL 33071",954-255-8336 ,"26.2459273,-80.2697548","5790 Margate Boulevard
Margate, FL 33063",954-972-6454 ,"26.2420954,-80.2050177",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-7,D,,,
Ron,Desantis,House,fldesantisron.jpg,D000621,RepDeSantis,Florida,,,Republican,,,"4701 Sisk Road, Suite 202
Modesto, CA 95356",209-579-5458,"37.7071746,-121.0778461",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,-2,3,0,0,0,0,0,0,0,1,0,3,3,12,A,,,
Mark,DeSaulnier,House,cadesaulniermark.jpg,D000623,,California,,,Democrat,,,"300 Village Green, Suite 235
Lincolnshire, IL 60069",847-793-8400,"42.202353,-87.929686","442 North Cedar Lake Road
Round Lake, IL 60073",847-309-6627 ,"42.3563673,-88.094069",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,12,A,,,
Scott,DesJarlais,House,tndesjarlaisscott.jpg,D000616,DesJarlaisTN04,Tennessee,,,Republican,,,"208 Grand Avenue
Wausau, WI 54403",715-298-9344 ,"44.955171,-89.624724","823 Belknap Street, Suite 225
Superior, WI 54880",715-392-3984,"46.7211251,-92.0907004",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,4,0,3,3,17,A+,,,
Theodore,Deutch,House,fldeutchted.jpg,D000610,RepTedDeutch,Florida,,,Democrat,,,"1028 Hayne Avenue SW
Aiken, SC 29801-3730",803-649-5571,"33.5637662,-81.7340576","303 West Beltline Boulevard
Anderson, SC 29625-1505",864-224-7401,"34.5490575,-82.6745876","200 Courthouse Public Square, PO Box 471
Laurens, SC 29360",864-681-1028 ,"34.4990116,-82.0142597",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,-2,3,0,0,0,0,0,0,0,1,4,3,3,18,A+,,,
Mario,Diaz-Balart,House,fldiazbalartmario.jpg,D000600,MarioDB,Florida,,,Republican,,,"Federal Building, Suite 311
200 South Jefferson Street
Winchester, TN 37398",931-962-3180 ,"35.1841841,-86.110495","305 West Main Street
Murfreesboro, TN 37130",615-896-1986,"35.8461158,-86.3940965","301 Keith Street, Suite 212
Cleveland, TN 37311",423-472-7500,"35.1646224,-84.8821837","711 North Garden Street
Columbia, TN 3840",931-381-9920 ,"35.61587,-87.035826",,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-7,D,,,
Debbie,Dingell,House,midingelldebbie.png,D000624,,Michigan,,,Democrat,,,"Canyon Park Business Center, Building E Suite 220
22121 17th Avenue SE",425-485-0085 ,,"204 West Montgomery Street
Mount Vernon, WA 98273",360-416-7879,"48.4195519,-122.3358522",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,-2,3,0,0,0,0,0,0,0,1,0,3,0,9,B+,,,
Lloyd,Doggett,House,txdoggettlloyd.jpg,D000399,RepLloydDoggett,Texas,,,Democrat,,,"2004 Fox Drive
Champaign, IL 61820",217-403-4690 ,"40.0906949,-88.250171","243 South Water Street, Suite 100
Decatur, IL 62523",217-791-6224,"39.839621,-88.9547377","108 East Market Street
Taylorville, IL 62568",217-824-5117,"39.548094,-89.294444","04 West North Street
Normal, IL 61761",309-252-8834 ,"40.5094889,-88.9847296",,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,3,0,0,0,0,0,0,0,4,4,3,3,25,A+,,,
Bob,Dold,House,ildoldbob.jpg,D000613,,Illinois,,,Republican,,,"9801 Washingtonian Boulevard, Suite 330
Gaithersburg, MD 20878",301-926-0300,"39.1148145,-77.196095","38 South Potomac Street, Suite 205
Hagerstown, MD 21740",301-733-2900 ,"39.641058,-77.720819",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,0,-2,D+,,,
Joe,Donnelly,Senate,indonnellyjoe.jpg,D000607,SenDonnelly,Indiana,(202) 224-4814,http://www.donnelly.senate.gov/contact/email-joe,Democrat,"115 North Pennsylvania Street, Suite 100
Indianapolis, IN 46204",317-226-5555,"39.7689983,-86.1559263","205 West Colfax Avenue
South Bend, IN 46601",574-288-2780,"41.6778965,-86.2524695","123 NW 4th Street, Suite 417
Evansville, IN 47708
",812-425-5862 ,"37.973245,-87.572027","203 East Berry Street, Suite 702-B
Fort Wayne, IN 46802
",260-420-4955,"41.0798577,-85.1378686"," 5400 Federal Plaza, Suite 3200
Hammond, IN 46320",219-852-0089,"41.6153856,-87.5209538","702 North Shore Boulevard, Suite LL-101
Jeffersonville, IN 47103
",812-284-2028,,,,,,,,,,-,1,,,0,0,0,0,0,0,0,0,0,0,1,-3,0,1,1,1,1,0,0,0,2,C-,,,
Dan,Donovan,House,,,,,,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,0,-2,D+,,,
Mike,Doyle,House,padoylemikef.jpg,D000482,USRepMikeDoyle,Pennsylvania,,,Democrat,,,"1000 City Centrer Circle
Port Orange, FL 32129",386-756-9798,"29.1265402,-81.0207185","3940 Lewis Speedway, Suite 2104
St. Augustine, FL 32084",904-827-1101,"29.9393058,-81.3390346","2000 PGA Boulevard, Suite A3220
Palm Beach Gardens, FL 33408",561-253-8433 ,"26.8429517,-80.0623144",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,1,0,3,3,16,A+,,,
Tammy,Duckworth,House,ilduckworthltammy.jpg,D000622,RepDuckworth,Illinois,,,Democrat,,,"1701 East Woodfield Road, Suite 704
Schaumburg, IL 60173", (847) 413-1959,"42.0428517,-88.0382685",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-7,D,,,
Sean,Duffy,House,widuffysean.jpg,D000614,RepSeanDuffy,Wisconsin,,,Republican,,,"440 Civic Center Plaza, 2nd Floor
Richmond, CA 94804",510- 620-1000,"37.936687,-122.3428346","101 Ygnacio Valley Road, Suite #210
Walnut Creek, CA 94596",925-933-2660,"37.9041686,-122.0687848",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,1,0,3,3,16,A+,,,
Jeff,Duncan,House,scduncanjeff.jpg,D000615,RepJeffDuncan,South Carolina,,,Republican,,,"3655 Johnson Avenue
Bronx, NY 10463-1671",718-796-9700,"40.8881903,-73.9095702","6 Gramatan Avenue, Suite 205
Mount Vernon, NY 10550",914-699-4100,"40.9124845,-73.8376727","177 Dreiser Loop, Room 3
Bronx, NY 10475",718-320-2314 ,"40.8777838,-73.8292461",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,4,4,3,3,23,A+,,,
John,Duncan,House,tnduncanjrjohn.jpg,D000533,RepJohnDuncanJr,Tennessee,,,Republican,,,"301 West Michigan Avenue, Suite 400
Ypsilanti, MI 48197",734-481-1100 ,"42.2407089,-83.6164657","19855 West Outer Drive, Suite 103-E
Dearborn, MI 48124",313-278-2936 ,"42.3038106,-83.2633426",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,-2,3,0,0,0,0,0,0,0,4,0,3,3,17,A+,,,
Richard,Durbin,Senate,ildurbinrichardj.jpg,D000563,SenatorDurbin,Illinois,(202) 224-2152,http://www.durbin.senate.gov/contact/email,Democrat,"230 S. Dearborn Street
Suite 3892    Chicago, IL 60604                  ",312.353.4952,"41.8784148,-87.6298137","525 S. 8th Street
Springfield, IL 62703",217.492.4062,"39.7965139,-89.6451588","250 W. Cherry Street
Suite 115-D
Carbondale, IL 62901",618.351.1122,"37.7233967,-89.2173054","1504 Third Avenue
Suite 227
Rock Island, IL 61201",309.786.5173,"41.5090839,-90.5782505",,,,,,,,,,,,,,,4,1,,,3,0,0,0,0,0,0,0,0,0,1,3,0,1,1,1,1,0,0,0,11,A-,,,
Donna,Edwards,House,mdedwardsdonna.jpg,E000290,RepDonnaEdwards,Maryland,,,Democrat,,,"698 Emerson Street
Palo Alto, CA 94301",650-323-2984 ,"37.4431725,-122.1606451",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,4,4,3,3,21,A+,,,
Keith,Ellison,House,mnellisonkeithm.jpg,E000288,KeithEllison,Minnesota,,,Democrat,,,"2100 Plymouth Avenue North
Minneapolis, MN 55411",612-522-1212 ,"44.9918259,-93.3073948",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,4,0,3,3,19,A+,,,
Renee,Ellmers,House,ncellmersrenee.jpg,E000291,RepReneeEllmers,North Carolina,,,Republican,,,"5001 Silver Hill Road, Suite 106
Suitland, MD 20746",301-516-7601 ,"38.8504211,-76.9215703","Ritchie Court Office Building, Suite 101
877 Baltimore Annapolis Boulevard
Severna Park, MD 21146",410-421-8061,"39.0617043,-76.5334373",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-7,D,,,
Tom,Emmer,House,mnemmertom.png,E000294,,Minnesota,,,Republican,,,"406 West Broad Street
Dunn, NC 28334",910-230-1910 ,"35.3107029,-78.6139649","222 Sunset Avenue, Suite 101
Asheboro, NC 27203",336-626-3060,"35.7057954,-79.8155649",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,7,B,,,
Eliot,Engel,House,nyengeleliotl.jpg,E000179,RepEliotEngel,New York,,,Democrat,,,"Old Post Office Plaza LLC, Suite 206
114 West Main Street
New Britain, CT 06051",860-223-8412 ,"41.66686,-72.784564",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,3,0,0,0,0,0,0,0,1,0,3,3,8,B,,,
Michael,Enzi,Senate,wyenzimichaelb.jpg,E000285,SenatorEnzi,Wyoming,(202) 224-3424,http://www.enzi.senate.gov/public/index.cfm/e-mail-senator-enzi,Republican,"Federal Center, Suite 2007
2120 Capitol Avenue
Cheyenne, WY 82001",307-772-2477,"41.1375997,-104.8190338","Federal Center, PO Box 33201
100 East B Street
Casper, WY 82602",307-261-6572,"43.14,-106.36","400 South Kendrick Avenue, Suite 303
Gillette, WY 82716",307-682-6268,"44.2912086,-105.5025366","1285 Sheridan Avenue, Suite 210
Cody, WY 82414",307-527-9444,"44.5260829,-109.0624069","1110 Maple Way, PO Box 12470
Jackson, WY 83002",307-739-9507,"43.4701027,-110.787523",,,,,,,,,,,,-,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,0,0,7,B,,,
Joni,Ernst,Senate,iaernstjoni.jpg,E000295,joniernst,Iowa,(202) 224-3254,http://www.ernst.senate.gov/content/contact-joni,Republican,"Federal Building, Room 733
210 Walnut Street
Des Moines, IA 50309",515-284-4574,"41.5863824,-93.6201038","111 Seventh Avenue SE, Suite 480
Cedar Rapids, IA 52401-2101",319-365-4504,"41.9731029,-91.6645102","1606 Brady Street, Suite 323
Davenport, IA 52803",563-322-0677,"41.536224,-90.57481","194 Federal Building
320 6th Street
Sioux City, IA 51101",712-252-1550,"42.4963125,-96.4075836",,,,,,,,,,,,,,,-4,-4,,,0,0,0,0,0,0,0,0,0,0,-4,-3,0,-3,-2,-3,-4,0,0,0,-19,F,,,
Anna,Eshoo,House,caeshooannag.jpg,E000215,RepAnnaEshoo,California,,,Democrat,,,"2850 Cutters Grove, Suite 205
Anoka, MN 55303",763-323-8922 ,"45.210217,-93.412881",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,1,4,3,3,20,A+,,,
Elizabeth,Esty,House,ctestyelizabeth.jpg,E000293,RepEsty,Connecticut,,,Democrat,,,"701 Ocean Avenue, Room 318C
Santa Cruz, CA 95060-4002",831-429-1976,"36.9778501,-122.0226351","100 West Alisal Street
Salinas, CA 93901",831-424-2229 ,"36.6737348,-121.657354",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,3,0,0,0,0,0,0,0,1,0,3,3,8,B,,,
Blake,Farenthold,House,txfarentholdrblake.jpg,F000460,Farenthold,Texas,,,Republican,,,"2401 North 54th Street
Philadelphia, PA 19131",215-871-4455 ,"39.9926158,-75.2333624",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,-2,3,0,0,0,0,0,0,0,1,4,3,3,18,A+,,,
Sam,Farr,House,cafarrsam.jpg,F000030,RepSamFarr,California,,,Democrat,,,"30 Schuyler Place, Second Floor
Morristown, NJ 07960",973-984-0711 ,"40.7967667,-74.4815438",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,4,0,3,3,19,A+,,,
Chaka,Fattah,House,pafattahchaka.jpg,F000043,ChakaFattah,Pennsylvania,,,Democrat,,,"505 Independence Parkway, Suite 104
Chesapeake, VA 23320",757-382-0080 ,"36.7620161,-76.258427","9401 Courthouse Road, Suite 202
Chesterfield, VA 23832",804-318-1363 ,"37.3874781,-77.517556",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,4,0,3,3,17,A+,,,
Dianne,Feinstein,Senate,cafeinsteindianne.jpg,F000062,SenFeinstein,California,(202) 224-3841,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,Democrat,"One Post Street
Suite 2450 
San Francisco, CA 94104 ",(415) 393-0707,"37.7888404,-122.4027155","11111 Santa Monica Blvd.
Suite 915 
Los Angeles, CA 90025 ",(310) 914-7300,"34.0479682,-118.4450073","880 Front Street
Suite 3296 
San Diego, CA 92101 ",(619) 231-9712,"32.7142265,-117.1643553","2500 Tulare Street
Suite 4290 
Fresno, CA 93721",(559) 485-7430 ,"36.7374775,-119.7836709",,,,,,,,,,,,,,,-8,1,,,0,0,-4,0,0,0,0,0,0,0,1,3,0,1,1,1,1,0,0,0,4,C,,,
Stephen,Fincher,House,tnfincherstephenlee.jpg,F000458,RepFincherTN08,Tennessee,,,Republican,,,"7121 West Bell Road, Suite 200
Glendale, AZ 85308",623-776-7911,"33.6372659,-112.2108586",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,-2,3,0,0,0,0,0,0,0,1,0,-3,3,6,C+,,,
Deb,Fischer,Senate,nefischerdeb.jpg,F000463,SenatorFischer,Nebraska,(202) 224-6551,http://www.fischer.senate.gov/public/?p=email-deb,Republican,"11819 Miracle Hills Drive, Suite 205
Omaha, NE 68154",402-391-3411,"41.2672595,-96.0980372","440 North 8th Street, Suite 120
Lincoln, NE 68508",402-441-4600,"40.81773,-96.709581","1110 Circle Drive, Suite F2
Scottsbluff, NE 69361",308-630-2329,"41.8680982,-103.6482605","20 West 23rd Street
Kearney, NE 68847",308-234-2361 ,"40.6986836,-99.0822875",,,,,,,,,,,,,,,-,-4,,,0,0,0,0,0,0,0,0,0,0,-4,-3,0,-3,-2,-3,-4,0,0,0,-19,F,,,
Michael,Fitzpatrick,House,pafitzpatrickmichaelg.jpg,F000451,RepFitzpatrick,Pennsylvania,,,Republican,,,"629 Broad Street, PO Box 377
Fremont, NE 68025",402-727-0888,"41.4351733,-96.4985536","301 South 13th Street, Suite 100
Lincoln, NE 68508",402-438-1598,"40.8110773,-96.7031401","125 South 4th Street, Suite 101
Norfolk, NE 68701",402-379-2064 ,"42.0316847,-97.4115589",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,4,0,3,3,19,A+,,,
Jeff,Flake,Senate,azflakejeff.jpg,F000444,JeffFlake,Arizona,(202) 224-4521,http://www.flake.senate.gov/public/index.cfm/contact-jeff,Republican,"2200 East Camelback Road, Suite 120
Phoenix, AZ 85016",602-840-1891,"33.509651,-112.034085","6840 Oracle Road, Suite 150
Tucson, AZ 85704",520-575-8633,"32.331766,-110.9762405",,,,,,,,,,,,,,,,,,,,,-,1,,,0,0,0,0,0,0,0,0,0,0,1,-3,0,1,-2,-3,1,0,0,0,-5,D,,,
Chuck,Fleischmann,House,tnfleischmannchuck.jpg,F000459,RepChuck,Tennessee,,,Republican,,,"3540 Clemmons Road, Suite 125
Clemmons, NC 27012",336-778-0211 ,"36.022732,-80.376086","240 Highway 105 Extension, Suite 200
Boone, NC 28607",828-265-0240,"36.2144622,-81.6693547",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,-2,3,0,0,0,0,0,0,0,1,0,3,3,12,A,,,
John,Fleming,House,laflemingjohn.jpg,F000456,RepFleming,Louisiana,,,Republican,,,"1717Langhorne Newtown Road, Suite 400
Langhorne, PA 19047",215-579-8102,"40.2163079,-74.9309338",,,,"195 Springfield Avenue, Suite 102
Joliet, IL 60435",,"41.5254113,-88.1379247",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,4,0,3,3,19,A+,,,
Bill,Flores,House,txfloresbill.jpg,F000461,RepBillFlores,Texas,,,Republican,,,"2711 East New York Street, Suite 204
Aurora, IL 60502",630-585-7672,"41.758299,-88.249672","195 Springfield Avenue, Suite 102
Joliet, IL 60435",815-280-5876,"41.5254113,-88.1379247",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,3,0,0,0,0,0,0,0,1,0,-3,3,2,C-,,,
J.,Forbes,House,vaforbesjrandy.jpg,F000445,Randy_Forbes,Virginia,,,Republican,,,"4834 Richmond Road, Suite 150
Warrensville, OH 44128",216-522-4900 ,"41.4300404,-81.4943699","1225 Lawton Street
Akron, OH 44320",330-835-4578 ,"41.080905,-81.565018",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-7,D,,,
Jeff,Fortenberry,House,nefortenberryjeff.jpg,F000449,JeffFortenberry,Nebraska,,,Republican,,,"700 Benton Road
Bossier City, LA 71111",318-549-1712,"32.5249364,-93.7171881","103 North Third Street
Leesville, LA 71446",337-238-0778 ,"31.1433561,-93.2612574","6425 Youree Drive, Suite 350
Shreveport, LA 71105",318-798-2254 ,"32.4482794,-93.7199603",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,3,0,0,0,0,0,0,0,1,0,3,3,8,B,,,
Bill,Foster,House,ilfosterbill.jpg,F000454,RepBillFoster,Illinois,,,Democrat,,,"117 North Liberty Street
Jackson, TN 38301",731-423-4848,"35.6149736,-88.8184144","100 South Main Street, Suite 1
Dyersburg, TN 38024",731-285-0910 ,"36.0326897,-89.3857046","406 Lindell Street South, Suite C
Martin, TN 38237",731-588-5190 ,"36.342528,-88.850229","5384 Poplar Avenue, Suite 410
Memphis, TN 38119",901-682-4422 ,"35.1074386,-89.881968","12015 Walker Street
Arlington, TN 38002",901-581-4718 ,"35.2959863,-89.662025",,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,-3,3,4,C,,,
Virginia,Foxx,House,ncfoxxvirginia.jpg,F000450,VirginiaFoxx,North Carolina,,,Republican,,,"900 Georgia Avenue, Suite 126
Chattanooga, TN 37402",423-756-2342,"35.0451099,-85.3082016","200 Administration Road, Suite 100
Oak Ridge, TN 37830",865-576-1976,"36.02409,-84.234908","6 East Madison Avenue
Athens, TN 37303",423-745-4671 ,"35.441192,-84.594681",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,3,0,0,0,0,0,0,0,1,0,3,3,8,B,,,
Lois,Frankel,House,flfrankellois.jpg,F000462,RepLoisFrankel,Florida,,,Democrat,,,"5606 North Navarro Street, Suite 203
Victoria, TX 77904",361-894-6446 ,"28.847658,-96.997774"," 101 North Shoreline Boulevard, Suite 300
Corpus Christi, TX 78401",361-884-2222,"27.7917948,-97.3931982",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-7,D,,,
Al,Franken,Senate,mnfrankenal.jpg,F000457,alfranken,Minnesota,(202) 224-5641,https://www.franken.senate.gov/?p=email_al,Democrat,"208 South Minnesota Avenue, Suite 6
Saint Peter, MN 56082",507-931-5813 ,"44.3247025,-93.9568085","916 West Saint Germain Street, Suite 110
Saint Cloud, MN 56301",320-251-2721 ,"45.5585248,-94.1632212","60 East Plato Boulevard, Suite 220
St. Paul, MN 55107",651-221-1016,"44.9373985,-93.0843011","515 West 1st Street, Suite 104
Duluth, MN 55802",218-722-2390,"46.7826122,-92.106712","1202-1/2 7th Street NW, Suite 213
Rochester, MN 55901",507-288-2003 ,"44.0315558,-92.4803958",,,,,,,,,,,,4,1,,,3,0,0,0,0,0,0,0,0,0,1,3,0,1,1,1,1,0,0,0,11,A-,,,
Trent,Franks,House,azfrankstrent.jpg,F000448,RepTrentFranks,Arizona,,,Republican,,,"3000 Briarcrest Drive, Suite 406
Bryan, TX 77802",979-703-4037 ,"30.6609036,-96.3285582","400 Austin Avenue, Suite 302
Waco, TX 76701",254-732-0748,"31.5572256,-97.1310507","14205 Burnet Road, Suite 230
Austin, TX 78728",512-373-3378,"30.4436317,-97.6957663",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,3,-3,-1,D+,,,
Rodney,Frelinghuysen,House,njfrelinghuysenrodneyp.jpg,F000372,USRepRodney,New Jersey,,,Republican,,,"2500 North Military Trail, Suite 490
Boca Raton, FL 33431",561-998-9045 ,"26.372807,-80.120457",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-7,D,,,
Marcia,Fudge,House,ohfudgemarcial.jpg,F000455,RepMarciaFudge,Ohio,,,Democrat,,,"117 South Lewis Street, Suite 215
Staunton, VA 24401",540-885-3861,"38.147788,-79.074099","70 North Mason Street
Harrisonburg, VA 22802",540-432-2391 ,"38.4496848,-78.866196","916 Main Street, Suite 300
Lynchburg, VA 24504",434-845-8306,"37.414414,-79.14153","10 Franklin Street SE, Suite 540
Roanoke, VA 24011",540-857-2672 ,"37.2695881,-79.9399444",,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,-2,0,0,0,0,0,0,0,0,1,0,3,0,6,C+,,,
Tulsi,Gabbard,House,higabbardtulsi.jpg,G000571,TulsiPress,Hawaii,,,Democrat,,,"1701 River Run Road, Suite 407
Fort Worth, TX 76107",817-338-0909 ,"32.737615,-97.3840729",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,4,2,4,0,3,4,0,0,0,0,0,0,4,4,3,3,31,A+,,,
Ruben,Gallego,House,azgallegoruben.jpg,G000574,,Arizona,,,Democrat,,,"11811 I-10 East, Suite 430
Houston, TX 77029",713-330-0761,"29.7888815,-95.3938452","256 North Sam Houston Parkway East, Suite 29
Houston, TX 77060",281-999-5879 ,"29.939806,-95.404679",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,3,0,2,C-,,,
John,Garamendi,House,cagaramendijohn.jpg,G000559,RepGaramendi,California,,,Democrat,,,"5531 West Cermak Road
Cicero, IL 60804",708-652-5180 ,"41.8506238,-87.763155","3210 West North Avenue
Chicago, IL 60647",773-342-0774 ,"41.910351,-87.7073832",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,-2,3,0,0,0,0,0,0,0,1,0,-3,3,8,B,,,
Cory,Gardner,Senate,cogardnercory.jpg,G000562,corygardner,Colorado,(202) 224-5941,http://www.gardner.senate.gov/content/contact-cory,Republican,"999 18th Street, Suite 1525
Denver, CO 80202",n/a,"39.7494259,-104.9908447","801 8th Street
Greeley, CO 80631",970-352-5546,"40.425162,-104.691107",,,,,,,,,,,,,,,,,,,,,-4,1,,,0,0,0,0,0,2,4,0,3,0,1,3,0,1,1,1,1,0,0,3,20,A+,,,
Scott,Garrett,House,njgarrettscott.jpg,G000548,RepGarrett,New Jersey,,,Republican,,,"11724 NW Plaza Circle, Suite 900
Kansas City, MO 64153",816-792-3976,"39.305988,-94.685134","411 Jules Street, Room 111
St. Joseph, MO 64501",816-749-0800 ,"39.7685291,-94.8548034","906 Broadway, PO Box 364
Hannibal, MO 63401
", (573) 221-3400,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,4,0,-3,3,13,A,,,
Bob,Gibbs,House,ohgibbsbob.jpg,G000563,RepBobGibbs,Ohio,,,Republican,,,"266 Harristown Road, Suite 104
Glen Rock, NJ 07452",201-444-5454,"40.951108,-74.13575","83 Spring Street, Suite 302A
Newton, NJ 07860",973-300-2000,"41.0583577,-74.7522806",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,3,0,0,0,0,0,0,0,1,0,3,3,8,B,,,
Christopher,Gibson,House,nygibsonchristopherp.jpg,G000564,RepChrisGibson,New York,,,Republican,,,"146 North State Avenue
Somerton, AZ 85350",928-343-7933 ,"32.5960921,-114.7109642","738 North 5th Avenue, Suite 110
Tucson, AZ 85705",520-622-6788 ,"32.2313653,-110.9668739","Rancho Santa Fe Center, Suite C-113
13065 West McDowell Road
Avondale, AZ 85392",623-536-3388 ,"33.4633606,-112.3373841",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,4,0,3,3,19,A+,,,
